id,work_title,episode_title,excerpt_fa,excerpt_en,question_fa,question_en,answer_fa,answer_en,summary_fa,summary_en,difficulty,type,source,tags
1,Shahnameh,آغاز کتاب,به نام خداوند جان و خرد / کز این برتر اندیشه بر نگذرد,In the name of the Lord of soul and wisdom / Beyond whom no thought can pass,فردوسی شاهنامه را با نام چه کسی آغاز میکند؟,With whose name does Ferdowsi begin the Shahnameh?,خداوند، خالق جان و خرد,"God, the creator of soul and wisdom",فردوسی شاهنامه را با نام خداوند، خالق جان و خرد آغاز می‌کند,"Ferdowsi begins the Shahnameh with the name of God, the creator of soul and wisdom.",Easy,Literal,"Ferdowsi, Shahnameh by Ferdowsi","God, Soul, Wisdom, Ferdowsi, Persian Literature, Beginning"
2,Shahnameh,آغاز کتاب,خداوندِ نام و خداوندِ جای,Lord of the name and Lord of the place,فردوسی در این بیت خداوند را با چه صفاتی یاد می‌کند؟,With what attributes does Ferdowsi describe God in this verse?,خداوند نام و جای,Lord of the name and place,فردوسی در این بیت خداوند را هم مالک نام و هم آفریننده جای معرفی می‌کند,Ferdowsi describes God as both the master of the name and the creator of space,Easy,Literal,Shahnameh by Ferdowsi,"God, attributes, creation"
3,Shahnameh,آغاز کتاب,خداوندِ روزی‌دِهِ رهنمای,Lord who gives sustenance and guidance,فردوسی در این بیت خداوند را چه کسی می‌خواند؟,How does Ferdowsi refer to God in this verse?,روزی‌ده و رهنما,Provider of sustenance and guide,فردوسی در این بیت خداوند را روزی‌دهنده و راهنما معرفی می‌کند,Ferdowsi describes God as the giver of sustenance and a guide,Easy,Literal,Shahnameh,"God, sustenance, guidance"
4,Shahnameh,آغاز کتاب,خداوند کیوان و گردان سپهر / فروزندهٔ ماه و ناهید و مهر,"Lord of Saturn and the turning sky / Illuminator of the moon, Venus, and the sun",فردوسی در این بیت خداوند را حاکم و فروزنده چه چیزهایی می‌داند؟,What does Ferdowsi describe God as ruling and illuminating in this verse?,کیوان، سپهر گردان، ماه، ناهید و مهر,"Saturn, the turning sky, the moon, Venus, and the sun",فردوسی در این بیت خداوند را فرمانروای آسمان‌ها و فروزنده ماه، ناهید و مهر می‌داند.,"Ferdowsi depicts God as the ruler of the heavens and the illuminator of the moon, Venus, and the sun",Easy,Literal,Shahnameh by Ferdowsi,"God, cosmos, Saturn, sky, moon, Venus, sun"
5,Shahnameh,آغاز کتاب,ز نام و نشان و گمان برتر است / نگارندهٔ برشده پیکر است,"Beyond name, sign, and imagination He is / The painter of the exalted forms",فردوسی در این بیت خداوند را برتر از چه چیزهایی می‌داند؟,What does Ferdowsi describe God as being beyond in this verse?,نام، نشان و گمان,"Name, sign, and imagination",.فردوسی در این بیت خداوند را برتر از نام، نشان و گمان می‌داند و او را آفرینندهٔ پیکرهای برآمده معرفی می‌کند,"Ferdowsi portrays God as beyond name, sign, and imagination, and as the creator of exalted forms.",Easy,Literal,Shahnameh by Ferdowsi,"God, transcendence, creation, forms"
6,Shahnameh,آغاز کتاب,به بینندگان آفریننده را / نبینی مرنجان دو بیننده را,"To the seers, the Creator you cannot see / Do not distress your two eyes in vain",فردوسی در این بیت چه هشداری درباره دیدن خداوند می‌دهد؟,What warning does Ferdowsi give about seeing God in this verse?,.خداوند با چشم دیده نمی‌شود و نباید دیدگان را در این راه رنجاند,"God cannot be seen with the eyes, and one should not distress the eyes trying.",.فردوسی بیان می‌کند که خداوند دیدنی با چشم نیست و انسان نباید تلاش بیهوده برای دیدن او کند,Ferdowsi explains that God cannot be seen with human eyes and warns against futile attempts to do so.,Easy,Literal,Shahnameh by Ferdowsi,"God, vision, transcendence, futility"
7,Shahnameh,آغاز کتاب,نیابد بدو نیز اندیشه راه / که او برتر از نام و از جایگاه,No thought can reach Him / for He is beyond name and beyond place,چرا اندیشه راهی به خداوند نمی‌یابد؟,Why can thought not find a way to God?,.زیرا او فراتر از هر نام و جایگاهی است,Because He is beyond any name and place.,.فردوسی می‌گوید اندیشهٔ انسان نمی‌تواند ذات خدا را درک کند چون برتر از هر حد و مکان است,"Ferdowsi says human thought cannot comprehend God’s essence, as He is beyond all limits and places.",Medium,Philosophical,Shahnameh by Ferdowsi,"God, thought, philosophy, transcendence"
8,Shahnameh,آغاز کتاب,سخن هر چه زین گوهران بگذرد / نیابد بدو راه جان و خرد,Any word beyond these gems / neither soul nor wisdom can find the way to Him,چرا جان و خرد راهی به خداوند نمی‌یابند؟,Why can neither soul nor wisdom find a way to God?,.چون ذات او برتر از سخن و اندیشهٔ انسانی است,Because His essence is beyond human speech and understanding.,.فردوسی بیان می‌کند که حتی جان و خرد انسان نمی‌توانند ذات خداوند را دریابند,Ferdowsi explains that even the human soul and wisdom cannot grasp God’s essence.,Hard,Philosophical,Shahnameh by Ferdowsi,"God, wisdom, philosophy, transcendence"
9,Shahnameh,آغاز کتاب,خرد گر سخن برگزیند همی / همان را گزیند که بیند همی,If wisdom chooses words / it chooses only what it can see,چرا خرد تنها آنچه را می‌بیند برمی‌گزیند؟,Why does wisdom choose only what it can see?,.زیرا خرد انسان محدود به تجربه و مشاهدهٔ محسوس است,Because human wisdom is limited to experience and perception.,.فردوسی تأکید می‌کند که خرد بشر تنها به دنیای دیدنی و محسوس بسنده می‌کند,Ferdowsi emphasizes that human wisdom is confined to the visible and tangible world.,Medium,Philosophical,Shahnameh by Ferdowsi,"Wisdom, perception, philosophy, limitation"
10,Shahnameh,آغاز کتاب,ستودن نداند کس او را چو هست / میانْ بندگی را ببایدْت بست,"None can praise Him as He truly is / instead, you must bind yourself to servitude",چرا هیچ‌کس نمی‌تواند خداوند را آن‌گونه که هست بستاید؟,Why can no one praise God as He truly is?,.چون ذات او فراتر از توصیف و ستایش انسانی است,Because His essence is beyond human description and praise.,فردوسی می‌گوید که انسان قادر به ستایش واقعی خداوند نیست و باید به بندگی او بپردازد.,Ferdowsi says humans cannot truly praise God and must instead serve Him.,Hard,Philosophical,Shahnameh by Ferdowsi,"God, worship, humility"
11,Shahnameh,آغاز کتاب,خرد را و جان را همی‌سَنجد اوی / در اندیشهٔ سَخته کِی گُنجد اوی؟,He weighs both wisdom and soul / how could He fit in hardened thought?,چرا خداوند در اندیشهٔ سخت و محدود نمی‌گنجد؟,Why does God not fit into hardened and limited thought?,چون او آفرینندهٔ خرد و جان است و فراتر از آنهاست.,"Because He is the creator of wisdom and soul, and beyond them.",فردوسی تأکید می‌کند که خداوند فراتر از اندیشهٔ محدود بشری است.,Ferdowsi emphasizes that God surpasses limited human thought.,Hard,Philosophical,Shahnameh by Ferdowsi,"God, thought, transcendence"
12,Shahnameh,آغاز کتاب,بدین آلت رای و جان و زبان / ستود آفریننده را کِی توان؟,"With mind, soul, and tongue as tools / how can one praise the Creator?",چرا با رای، جان و زبان نمی‌توان خدا را به درستی ستود؟,"Why can’t mind, soul, and tongue properly praise God?",چون این ابزارها محدود و انسانی‌اند و به ذات بی‌کران او نمی‌رسند.,"Because these tools are limited and human, and cannot reach His infinite essence.",فردوسی می‌گوید ابزارهای انسانی برای ستایش کامل خداوند کافی نیستند.,Ferdowsi says human tools are insufficient to fully praise God.,Medium,Philosophical,Shahnameh by Ferdowsi,"God, language, limitation"
13,Shahnameh,آغاز کتاب,به هستیش باید که خستو شوی / ز گفتار بیکار یکسو شوی,To His being you must confess / and set aside idle words,به جای گفتار بی‌ثمر چه باید کرد؟,What should one do instead of idle words?,باید به وجود خداوند اعتراف کرد و حقیقت او را پذیرفت.,One must confess God’s existence and accept His truth.,فردوسی تأکید می‌کند که اعتراف به هستی خداوند از سخن‌پردازی برتر است.,Ferdowsi stresses that confessing God’s existence is superior to idle talk.,Easy,Ethical,Shahnameh by Ferdowsi,"God, faith, confession"
14,Shahnameh,آغاز کتاب,پرستنده باشیّ و جوینده راه / به ژرفی به فرمانْش کردن نگاه,Be a worshipper and seeker of the way / look deeply into His command,انسان چگونه باید به خداوند نزدیک شود؟,How should humans approach God?,با پرستش و جستجوی راه او و اندیشیدن در فرمان‌هایش.,"Through worship, seeking His path, and reflecting on His commands.",فردوسی راه نزدیکی به خداوند را پرستش و تفکر در فرمان او می‌داند.,Ferdowsi sees worship and reflection on God’s commands as the path to Him.,Medium,Ethical,Shahnameh by Ferdowsi,"God, worship, guidance"
15,Shahnameh,آغاز کتاب,توانا بود هر که دانا بود / ز دانش دل پیر برنا بود,"Powerful is the one who is wise / with knowledge, an old heart becomes young",رابطهٔ توانایی و دانایی در این بیت چیست؟,What is the relationship between power and wisdom in this verse?,هر که دانا باشد تواناست، زیرا دانش نیروی واقعی است.,"Whoever is wise is powerful, because knowledge is true strength.",فردوسی دانش را منبع قدرت می‌داند که حتی دل پیر را جوان می‌سازد.,"Ferdowsi sees knowledge as the source of power, rejuvenating even the old heart.",Easy,Ethical,Shahnameh by Ferdowsi,"Knowledge, wisdom, power"
16,Shahnameh,ستایشِ خرد,کُنون اِی خِرَدمَند وَصفِ خِرَد / بِدین جایگَه گفتن اَندر خُورَد,"Now, O wise one, the description of wisdom / Is fitting to be told in this place",فردوسی در این بیت چه موضوعی را برای گفتن مناسب می داند؟, What topic does Ferdowsi deem fitting to discuss in this verse?,وصف و ستایش خرد,The description and praise of wisdom, فردوسی خطاب به خواننده خردمند، بیان و ستایش خرد را در این بخش از کتاب شایسته می داند.,"Addressing the wise reader, Ferdowsi declares that describing and praising wisdom is appropriate at this point in the book.",Easy,Thematic, Shahnameh by Ferdowsi,"Wisdom, Knowledge, Transition, Prologue"
17,Shahnameh,ستایش خرد,کُنون تا چه داری بیار از خِرَد / که گوشِ نیُوشَنده زو بَر خُورَد,"Now, whatever you have of wisdom, bring forth / So the listening ear may benefit from it",فردوسی در این بیت چه توصیه‌ای به شاعر (خود) می‌کند؟,What advice does Ferdowsi give to the poet (himself) in this verse?,هر چه از خرد دارد را بیان کند تا شنوندگان از آن بهره‌مند شوند,To express all he knows of wisdom so that listeners may benefit from it,فردوسی از خود می‌خواهد که گنجینه خرد خود را برای استفاده دیگران عرضه کند.,Ferdowsi urges himself to present his treasury of wisdom for the benefit of others.,Easy,Ethical,Shahnameh by Ferdowsi,"Wisdom, Advice, Sharing Knowledge"
18,Shahnameh,ستایش خرد,خِرَد بِهتر از هَر چه ایزَد بِداد / ستایش خِرَد را بِه از راهِ داد,"Wisdom is better than all God has given / Praising wisdom is better than the path of justice",فردوسی در این بیت چه فضیلتی برای خرد قائل است؟,What virtue does Ferdowsi attribute to wisdom in this verse?,خرد را برترین موهبت خدا و ستایش آن را برتر از راه انصاف می‌داند,He considers wisdom the greatest gift from God and praising it superior to the path of justice,فردوسی خرد را برترین آفریده و ستایش آن را ارزشمندترین عمل می‌شمارد.,Ferdowsi declares wisdom the supreme creation and its praise the most valuable act.,Medium,Philosophical,Shahnameh by Ferdowsi,"Wisdom, Superiority, Praise"
19,Shahnameh,ستایش خرد,خِرَد رَهنمای وُ خِرَد دِلگشای / خِرَد دَست گیرد به هَر دو سَرای,"Wisdom is the guide and wisdom is the heart's delight / Wisdom takes one's hand in both abodes",فردوسی در این بیت چه نقش‌هایی برای خرد برمی‌شمارد؟,What roles does Ferdowsi list for wisdom in this verse?,خرد را راهنما، مایه گشایش دل و پشتیبان در هر دو جهان (دنیا و آخرت) می‌داند,He sees wisdom as a guide a source of joy for the heart and a supporter in both worlds (this life and the hereafter),فردوسی خرد را راهنمایی می‌داند که در همۀ حالات و هر دو جهان یاور انسان است.,Ferdowsi describes wisdom as a guide that supports humans in all states and both worlds.,Easy,Literal,Shahnameh by Ferdowsi,"Wisdom, Guidance, Afterlife"
20,Shahnameh,ستایش خرد,از او شادمانی وزویَت غَمی است / وزویَت فُزونی وزویَت کَمی است,"From it comes joy and from it comes your sorrow / From it comes abundance and from it comes scarcity",منشأ شادی، غم، فزونی و کمی از نظر فردوسی چیست؟,What is the source of joy sorrow abundance and scarcity according to Ferdowsi?,همه این حالات از خرد ناشی می‌شوند,All these states originate from wisdom,فردوسی منشأ همۀ نعمات و مصائب زندگی انسان را خرد می‌داند.,Ferdowsi states that the source of all life's blessings and tribulations is wisdom.,Medium,Philosophical,Shahnameh by Ferdowsi,"Wisdom, Cause and Effect, Life"
21,Shahnameh,ستایش خرد,خِرَد تیره وُ مَرد روشن رَوان / نَباشَد هَمی شادمان یِک زَمان,"Dark wisdom and a man with a bright soul / Cannot be happy for even one moment",شرط شادمانی حقیقی از نظر فردوسی چیست؟,What is the condition for true happiness according to Ferdowsi?,وجود خرد روشن و نورانی است، و نه صرفاً داشتن روانی سالم,Having bright and luminous wisdom not merely possessing a healthy soul,فردوسی بیان می‌کند که بدون خرد روشن، حتی سلامت روان نیز نمی‌تواند شادی پایدار بیافریند.,Ferdowsi explains that without bright wisdom even mental health cannot create lasting happiness.,Hard,Philosophical,Shahnameh by Ferdowsi,"Wisdom, Happiness, Psychology"
22,Shahnameh,ستایش خرد,چه گُفت آن خِرَدمَند مَردِ خِرَد / که دانا زِ گفتار او بَر خُورَد,"What did that wise man of wisdom say / From whose speech the knowledgeable benefit",ویژگی سخن مرد خردمند از نظر فردوسی چیست؟,What is the characteristic of the wise man's speech according to Ferdowsi?,سخنانش برای افراد دانا سودمند و بهره‌بخش است,His words are beneficial and profitable for knowledgeable people,فردوسی به مردی خردمند اشاره می‌کند که گفتارش مایۀ بهره‌وری دانایان است.,Ferdowsi refers to a wise man whose speech is a source of benefit for the knowledgeable.,Easy,Literal,Shahnameh by Ferdowsi,"Wise Man, Speech, Benefit"
23,Shahnameh,ستایش خرد,کسی کو خِرَد را نَدارَد زِ پیش / دِلش گَردَد از کَردهٔ خویش ریش,"One who does not keep wisdom ahead / His heart becomes regretful of his own deeds",نتیجه نداشتن خرد به عنوان راهنما چیست؟,What is the consequence of not having wisdom as a guide?,پشیمانی و اندوه از کارهای انجام شده,Regret and sorrow over one's actions,فردوسی هشدار می‌دهد که بی‌خردی منجر به پشیمانی از اعمال گذشته می‌شود.,Ferdowsi warns that folly leads to regret over past deeds.,Medium,Ethical,Shahnameh by Ferdowsi,"Wisdom, Regret, Consequences"
24,Shahnameh,ستایش خرد,هُشیوار دیوانه خوانَد وُرا / همان خویش بیگانه دانَد وُرا,"The sensible one calls him insane / And even his own kin consider him a stranger",واکنش دیگران به فرد بی‌خرد چگونه است؟,How do others react to the foolish person?,هشیاران او را دیوانه می‌خوانند و حتی خویشاوندانش او را بیگانه می‌دانند,The sensible call him and even his relatives see him as a stranger,فردوسی سرنوشت اجتماعی فرد بی‌خرد را طرد شدن و برچسب خوردن می‌داند.,Ferdowsi describes the social fate of a fool as rejection and labeling.,Medium,Social,Shahnameh by Ferdowsi,"Wisdom, Folly, Social Rejection"
25,Shahnameh,ستایش خرد,از اویی به هَر دو سَرای اَرجمَند / گسسته خِرَد پای دارَد به بَند,"Because of him, in both noble abodes / Deficient wisdom holds his foot in chains",وضعیت فرد کم‌خرد در دو جهان چگونه است؟,What is the condition of the unwise person in both worlds?,در هر دو جهان، خرد ناقص او را گرفتار و زندانی می‌کند,In both worlds his deficient wisdom keeps him trapped and imprisoned,فردوسی بیان می‌کند که کم‌خردی باعث گرفتاری و اسارت انسان در دنیا و آخرت می‌شود.,Ferdowsi states that lack of wisdom causes entrapment and imprisonment in this world and the next.,Hard,Philosophical,Shahnameh by Ferdowsi,"Wisdom, Imprisonment, Afterlife"
26,Shahnameh,ستایش خرد,خِرَد چَشمِ جان اَست چون بِنگری / تو بی‌چَشمِ شادان جَهان نَسپَری,"Wisdom is the eye of the soul when you look / You cannot traverse the world happily without the eye",فردوسی خرد را به چه چیزی تشبیه می‌کند و چرا؟,What does Ferdowsi compare wisdom to and why?,خرد را به چشم جان تشبیه می‌کند، زیرا همانطور که بدون چشم دنیا تاریک است، بدون خرد نیز جان انسان شاد نیست,He compares wisdom to the eye of the soul because just as the world is dark without eyes the soul is joyless without wisdom,فردوسی با تشبیه خرد به چشم جان، بر ضرورت آن برای درک و لذت بردن از جهان تأکید می‌کند.,By comparing wisdom to the soul's eye Ferdowsi emphasizes its necessity for perceiving and enjoying the world.,Medium,Metaphorical,Shahnameh by Ferdowsi,"Wisdom, Metaphor, Soul"
27,Shahnameh,ستایش خرد,نخُست‌آفرینش خِرَد را شِناس / نگهبانِ جان است و آنِ سه پاس,"First know wisdom in creation / It is the guardian of the soul and those three safeguards",فردوسی چه جایگاهی برای خرد در میان آفریده‌ها قائل است؟,What place does Ferdowsi assign to wisdom among creations?,خرد را نخستین آفریده و نگهبان جان و سه محافظ (چشم، گوش، زبان) می‌داند,He considers wisdom the first creation and the guardian of the soul and the three safeguards (eye-ear-tongue),فردوسی خرد را برترین و اولین آفریده و محافظ اصلی انسان معرفی می‌کند.,Ferdowsi introduces wisdom as the supreme and first creation and the primary protector of humans.,Hard,Philosophical,Shahnameh by Ferdowsi,"Wisdom, Creation, Guardian"
28,Shahnameh,ستایش خرد,سه پاسِ تو چَشم اَست و گوش وُ زَبان / کَز این سه رَسَد نیک و بَد بی‌گُمان,"Your three safeguards are the eye the ear and the tongue / For from these three good and evil undoubtedly come",سه نگهبان انسان چه هستند و چه نقشیدی دارند؟,What are the three safeguards of humans and what is their role?,چشم، گوش و زبان هستند که منشأ رسیدن خوبی و بدی به انسان هستند,They are the eye ear and tongue which are the source of good and evil reaching a person,فردوسی سه عضو حیاتی انسان را که مسؤول دریافت و بیان خیر و شر هستند معرفی می‌کند.,Ferdowsi introduces the three vital human organs responsible for receiving and expressing good and evil.,Easy,Literal,Shahnameh by Ferdowsi,"Safeguards, Senses, Good and Evil"
29,Shahnameh,ستایش خرد,خِرَد را وُ جان را که یارَد سُتود / وَ گَر مَن سِتایم که یارَد شُنود,"Who can praise wisdom and the soul? / And if I praise who can listen?",فردوسی در این بیت چه مشکلی را در ستایش خرد و جان مطرح می‌کند؟,What problem does Ferdowsi raise regarding praising wisdom and the soul?,هیچ کس نمی‌تواند به درستی آن را بستاید و حتی اگر کسی بتواند، کسی نیست که بتواند آن را درک کند,No one can properly praise it and even if someone could there is no one who could comprehend it,فردوسی به ناتوانی انسان در درک و ستایش کامل مفاهیم عمیقی مانند خرد و جان اعتراف می‌کند.,Ferdowsi confesses to humanity's inability to fully comprehend and praise profound concepts like wisdom and soul.,Hard,Philosophical,Shahnameh by Ferdowsi,"Wisdom, Soul, Ineffability"
30,Shahnameh,ستایش خرد,حَکیما چو کَس نیست گُفتن چه سود / از این پَس بگو کآفرینش چه بود,"O sage since no one is [able] what is the use of speaking? / Henceforth tell what creation was",فردوسی پس از بحث درباره خرد، چه درخواستی از حکیم می‌کند؟,What does Ferdowsi request from the sage after discussing wisdom?,بحث را رها کند و داستان آفرینش جهان را آغاز نماید,To abandon the discussion and begin the story of the creation of the world,فردوسی با اعلام پایان بحث نظری، روایت داستانی آفرینش را کلید می‌زند.,Ferdowsi declaring the end of the theoretical discussion initiates the narrative of creation.,Easy,Narrative,Shahnameh by Ferdowsi,"Sage, Creation, Narrative"
31,Shahnameh,ستایش خرد,تویی کردهٔ کِردگارِ جهان / ببینی هَمی آشکار وُ نَهان,"You are the creature of the Creator of the world / You see both the apparent and the hidden",فردوسی خطاب به انسان، چه ویژگی‌هایی را برای او برمی‌شمارد؟,What characteristics does Ferdowsi list for humans?,او مخلوق خداوند است و توانایی دیدن چیزهای آشکار و پنهان را دارد,He is God's creation and has the ability to see both apparent and hidden things,فردوسی با خطاب قرار دادن انسان، جایگاه او را به عنوان آفریده‌ای بینا در جهان مشخص می‌کند.,By addressing humans Ferdowsi defines their position as a seeing creature in the world.,Easy,Philosophical,Shahnameh by Ferdowsi,"Humanity, Creation, Perception"
32,Shahnameh,ستایش خرد,به گفتارِ دانندگان راه جُوی / به گیتی بِپوی وُ به هَر کَس بِگوی,"Seek the path through the speech of the knowledgeable / Traverse the world and tell everyone",فردوسی چه توصیه‌هایی برای کسب و انتشار دانش می‌کند؟,What advice does Ferdowsi give for acquiring and spreading knowledge?,از سخنان دانایان راه را بجوید، در جهان سفر کنید و دانش خود را به همه بیاموزید,Seek the path through the words of the wise travel the world and teach your knowledge to everyone,فردوسی انسان را به جستجوی دانش از منابع قابل اطمینان و سپس نشر آن در سراسر جهان تشویق می‌کند.,Ferdowsi encourages humans to seek knowledge from reliable sources and then spread it throughout the world.,Easy,Educational,Shahnameh by Ferdowsi,"Knowledge, Advice, Education"
33,Shahnameh,ستایش خرد,زِ هَر دانشی چون سخن بِشنَوی / از آموختن یِک زَمان نَغنَوی,"When you hear speech from any knowledge / You will not avoid learning for a moment",تأثیر شنیدن سخن دانش‌مندان بر انسان چیست؟,What is the effect of hearing the speech of scholars on a person?,او مشتاق یادگیری می‌شود و از آموختن دست نمی‌کشد,He becomes eager to learn and does not refrain from acquiring knowledge,فردوسی اشاره می‌کند که مواجهه با دانش، خود باعث ایجاد اشتیاق برای یادگیری بیشتر می‌شود.,Ferdowsi suggests that exposure to knowledge itself creates a desire for further learning.,Easy,Educational,Shahnameh by Ferdowsi,"Knowledge, Learning, Motivation"
34,Shahnameh,ستایش خرد,چو دیدار یابی به شاخِ سَخُن / بدانی که دانش نیاید به بُن,"When you gain sight of a branch of speech / You will know that knowledge has no end",فردوسی چه حقیقتی درباره ماهیت دانش بیان می‌کند؟,What truth about the nature of knowledge does Ferdowsi express?,دانش بی‌پایان است و هر چه بیشتر بیاموزی، بیشتر درمی‌یابی که نهایتی ندارد,Knowledge is endless and the more you learn the more you realize it has no limit,فردوسی با تشبیه دانش به درختی بی‌انتها، بر بی‌نهایت بودن مسیر یادگیری تأکید می‌کند.,By comparing knowledge to an endless tree Ferdowsi emphasizes the infinity of the path of learning.,Medium,Philosophical,Shahnameh by Ferdowsi,"Knowledge, Infinity, Learning"
35,Shahnameh,اندر آفرینش عالم,از آغاز باید که دانی دُرُست / سَرِ مایهٔ گوهَران از نُخُست,"From the beginning you must know correctly / The origin of gems from the first",فردوسی در این بیت بر چه چیزی تأکید می‌کند؟,What does Ferdowsi emphasize in this verse?,بر ضرورت دانستن سرآغاز و منشأ صحیح گوهرها (عناصر),On the necessity of knowing the true origin and source of the elements (gems),فردوسی بر درک صحیح منشأ آفرینش در همان ابتدا تأکید می‌ورزد.,Ferdowsi emphasizes the correct understanding of the origin of creation from the very beginning.,Medium,Philosophical,Shahnameh by Ferdowsi,"Creation, Origin, Knowledge"
36,Shahnameh,اندر آفرینش عالم,که یَزدان زِ ناچیز چیز آفرید / بِدان تا توانایی آرَد پَدید,"That God created something from nothing / Know this so that His power may become manifest",هدف خداوند از آفرینش جهان از نیستی چیست؟,What is God's purpose in creating the world from nothing?,تا توانایی و قدرت بی‌پایان خود را آشکار کند,To manifest His infinite ability and power,فردوسی آفرینش از نیستی را نمایشی از قدرت مطلق خداوند می‌داند.,Ferdowsi sees creation from nothing as a demonstration of God's absolute power.,Medium,Theological,Shahnameh by Ferdowsi,"God, Creation, Power, Theology"
37,Shahnameh,اندر آفرینش عالم,سَرِ مایهٔ گوهران این چهار / بَرآوَرده بی‌رَنج و بی‌روزگار,"The origin of these elements is these four / Brought forth without toil and without time",سرچشمه اصلی عناصر چیست و چگونه پدید آمدند？,What is the primary source of the elements and how did they come to be?,چهار عنصر اصلی هستند که بدون رنج و گذر زمان آفریده شدند,They are the four primary elements created without toil and outside of time,فردوسی چهار عنصر اصلی را که پایه‌های آفرینش هستند، معرفی می‌کند.,Ferdowsi introduces the four primary elements that are the foundation of creation.,Easy,Literal,Shahnameh by Ferdowsi,"Elements, Creation, Foundation"
38,Shahnameh,اندر آفرینش عالم,یکی آتشی بَر شُده تابناک / میان آب و باد از بَرِ تیره خاک,"One is a fire risen and radiant / Between water and air above the dark earth",فردوسی اولین عنصر و جایگاه آن را چگونه توصیف می‌کند？,How does Ferdowsi describe the first element and its place?,آتش درخشان که میان آب و باد و بر فراز خاک تیره قرار دارد,Radiant fire which is situated between water and air above the dark earth,فردوسی به توصیف عنصر آتش و موقعیت آن در میان دیگر عناصر می‌پردازد.,Ferdowsi describes the element of fire and its position among the other elements.,Easy,Literal,Shahnameh by Ferdowsi,"Fire, Elements, Cosmology"
39,Shahnameh,اندر آفرینش عالم,نخُستین که آتش به جُنبش دَمید / زِ گرمیش پَس خُشکی آمد پَدید,"First when fire began to move / From its heat dryness subsequently appeared",نخستین حرکت آتش چه نتیجه‌ای داشت？,What was the result of fire's first movement?,پدید آمدن خشکی در اثر گرمای آن,The emergence of dryness due to its heat,فردوسی نقش محوری آتش و گرمای آن را در پدید آوردن خشکی شرح می‌دهد.,Ferdowsi explains the central role of fire and its heat in creating dryness.,Medium,Cosmological,Shahnameh by Ferdowsi,"Fire, Heat, Dryness, Creation"
40,Shahnameh,اندر آفرینش عالم,و زان پَس زِ آرام سَردی نُمود / زِ سَردی هَمان باز تَری فُزود,"And after that from the calm cold appeared / From that cold moisture increased again",پس از خشکی، چه حالتی پدید آمد و چه نتیجه‌ای داشت？,After dryness what state appeared and what was its result?,سردی پدید آمد و از آن سردی، رطوبت و تری فزونی یافت,Cold appeared and from that cold moisture and wetness increased,فردوسی چرخه آفرینش را با پدید آمدن سردی و سپس رطوبت ادامه می‌دهد.,Ferdowsi continues the cycle of creation with the emergence of cold and then moisture.,Medium,Cosmological,Shahnameh by Ferdowsi,"Cold, Moisture, Creation, Cycle"
41,Shahnameh,اندر آفرینش عالم,چو این چار گوهَر به جای آمدند / زِ بَهرِ سِپَنجی سَرای آمدند,"When these four gems came into place / For the sake of the fifth abode they came",هدف از پدید آمدن چهار عنصر چه بود؟,What was the purpose of the emergence of the four elements?,برای تشکیل جهان فانی و مادی (سپنج),To form the transient and material world (the fifth abode),فردوسی هدف نهایی از آفرینش چهار عنصر را شکل‌گیری جهان مادی می‌داند.,Ferdowsi states that the ultimate purpose of creating the four elements was the formation of the material world.,Medium,Cosmological,Shahnameh by Ferdowsi,"Elements, Material World, Creation"
